Query,Response
 How can I reach room 808 from the lifts? ," To reach room 808 from the lifts, take a right from lifts E and F, walk straight, then take a left, and you'll find room 808 on your right.                "
" Which lifts stop at all floors, including the 10th floor? "," Lifts E and F are the only lifts that stop at all floors, including the 10th floor.             "
 How do I get to the 5MCA A classroom?   , The 5MCA A classroom is assigned to room 808.                                                  
 Where is room 809 located?              ," Room 809 is located right after room 808, if you walk straight. It is assigned to the 5MCA B classroom. There is a staircase to go upstairs right in front of room 809. In front of room 809 are lifts A and B. "
 What can I find after room 810?         ," After room 810, you will find the gents washroom and then the ladies washroom. If you keep walking straight, you will reach room 811, which is the MCA lab.                     "
 Where are the faculty rooms located?    ," The faculty rooms are located to your right as you walk straight from the gents washroom, past lifts C and D, and continue walking straight.                                   "
 Which classrooms are assigned to 1MCA A and 1MCA B? ," Room 812 is assigned to 1MCA A, and room 813 is assigned to 1MCA B. You can find room 812 on your right and room 813 on your right as you move straight from the round table area.           "
 Where can I sit and study peacefully?   ," You can sit and study peacefully at the round table area, which is located on your left as you move straight from room 813.                                        "
 What is located after room 815?         ," After room 815, you will find the water filter to your left. But if you turn left from room 815 and walk straight, you will find lifts C and D.                         "
 Lift E and Lift F    , Starting and ending point                                    
 Lift A and Lift C    ," Stops at even floors: -2, -1, 0, 2, 4, 6, 8                 "
 Lift B and Lift D    ," Stops at even floors: -2, -1, 0, 1, 3, 5, 7, 9              "
 Lift E and Lift F    ," Stops at all floors: -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 "
 Room 808             ," Right from lifts E and F, straight, left, and on the right                     "
 Room 809             ," Straight, assigned to 5MCA B classroom                       "
 Staircase (upstairs) , In front of Room 809                                         
 Room 810             , After Room 809                                                
 Faculty Rooms        , To the right after walking straight from gents washroom     
 Room 812             ," Right, assigned to 1MCA A                                    "
 Room 813             ," Right, assigned to 1MCA B                                    "
 Round Table Area     ," Left, for peaceful studying                                  "
 Room 814             ," Right, assigned to 1MSC AI classroom                         "
 Room 815             ," Right, assigned to 1MCOM classroom                           "
