Query,Response
"""hello""","""Hello, how are you ?"""
 "I'm searching for Room 812 for 1MCA Section A." ," ""Room 812 for 1MCA Section A is on this floor. It's nearby, just down the hall on your left."" "
 "How do I find Room 813 for 1MCA Section B?"   ," ""To reach Room 813 for 1MCA Section B, take the stairs to the right, and it's on your right-hand side."" "
 "Where can I locate Room 808 for 5MCA Section A?" , "Room 808 for 5MCA Section A can be reached by taking Lift E or Lift F to the 8th floor." 
 "I need to go to Room 809 for 5MCA Section B." ," ""To reach Room 809 for 5MCA Section B, you can use Lift E or Lift F, which both stop at each floor and go to the 10th floor."" "
 "Which lift should I take to go to the 10th floor?" , "You can take Lift E or Lift F to directly access the 10th floor since they stop at each floor." 
 "I'm on an even-numbered floor. Which lift should I use?" ," ""If you're on an even-numbered floor, you can use Lift B or Lift D as they serve even-numbered floors."" "
 "I'm on an odd-numbered floor. Which lift is for me?" ," ""If you're on an odd-numbered floor, you can take Lift A or Lift C as they serve odd-numbered floors."" "
 "Can you guide me to Lift C?"                ," ""Certainly, Lift C is just around the corner to your right."" "
 "Which lift should I take to reach the faculty area?" ," ""To reach the faculty area, you can use Lift B or Lift E, as they are conveniently located nearby."" "
 "Where is the nearest boys' washroom?"      ," ""The nearest boys' washroom is located near Lift A, and another one is near the computer lab."" "
 "How can I find the girls' washrooms?"       ," ""There are two girls' washrooms on this floor. One is near Lift C, and the other is near the common area."" "
 "Tell me about the rooms dedicated to teachers in the faculty area." ," ""The faculty area comprises several rooms, each dedicated to a teacher. Some of the teachers include Mr. Smith, Ms. Johnson, and Dr. Patel."" "
 "What's the purpose of the common area with round tables?" ," ""The common area with round tables is a space for relaxation and study, available for students and faculty."" "
" ""Can you provide directions to Room 811, the computer lab?"" "," ""To reach the computer lab (Room 811), take the stairs to the left, and it's on your right."" "
 "How many floors do the lifts E and F serve?" ," ""Lifts E and F serve all floors, stopping at each one and going up to the 10th floor."" "
" ""I'm looking for the computer lab, Room 811."" "," ""The computer lab (Room 811) is nearby. Take the stairs to the left, and it's on your right."" "
 "Which lift goes to the 9th floor?"         ," ""You can take Lift A or Lift C to reach the 9th floor, as they serve odd-numbered floors."" "
 "Tell me about the facilities on the 9th floor." ," ""The 9th floor houses classrooms, labs, and faculty rooms. Is there a specific room or area you're looking for?"" "
 "How do I get to Lift D?"                    , "You can find Lift D around the corner to your left. It serves even-numbered floors." 
 "Where is the nearest emergency exit?"       , "The nearest emergency exit is located near Lift A. Follow the exit signs for safety instructions." 
